name;koodi;paavo.vuosi.offset;aggr;weight;ratio.base
Postal area name;nimi;;;;
Zip code;pono;;;;
Year of Paavo data;vuosi;;;;
Area;pinta_ala;;sum;;
X coordinate;euref_x;;min;;
Y coordiante;euref_y;;min;;
Commune number;kuntano;;min;;
Inhabitants HE;he_vakiy;-2;sum;;
Females HE;he_naiset;-2;sum;;he_vakiy
Males HE;he_miehet;-2;sum;;he_vakiy
Average age of inhabitants HE;he_kika;-2;mean;he_vakiy;
0-2 years HE;he_0_2;-2;sum;;he_vakiy
3-6 years HE;he_3_6;-2;sum;;he_vakiy
7-12 years HE;he_7_12;-2;sum;;he_vakiy
13-15 years HE;he_13_15;-2;sum;;he_vakiy
16-17 years HE;he_16_17;-2;sum;;he_vakiy
18-19 years HE;he_18_19;-2;sum;;he_vakiy
20-24 years HE;he_20_24;-2;sum;;he_vakiy
25-29 years HE;he_25_29;-2;sum;;he_vakiy
30-34 years HE;he_30_34;-2;sum;;he_vakiy
35-39 years HE;he_35_39;-2;sum;;he_vakiy
40-44 years HE;he_40_44;-2;sum;;he_vakiy
45-49 years HE;he_45_49;-2;sum;;he_vakiy
50-54 years HE;he_50_54;-2;sum;;he_vakiy
55-59 years HE;he_55_59;-2;sum;;he_vakiy
60-64 years HE;he_60_64;-2;sum;;he_vakiy
65-69 years HE;he_65_69;-2;sum;;he_vakiy
70-74 years HE;he_70_74;-2;sum;;he_vakiy
75-79 years HE;he_75_79;-2;sum;;he_vakiy
80-84 years HE;he_80_84;-2;sum;;he_vakiy
85- years HE;he_85_;-2;sum;;he_vakiy
Aged 18 or over, total KO;ko_ika18y;-3;sum;;
Basic level studies KO;ko_perus;-3;sum;;ko_ika18y
With education, total KO;ko_koul;-3;sum;;ko_ika18y
Matriculation examinantion KO;ko_yliop;-3;sum;;ko_ika18y
Vocational diploma KO;ko_ammat;-3;sum;;ko_ika18y
Lower level university degree KO;ko_al_kork;-3;sum;;ko_ika18y
Higher level university degree KO;ko_yl_kork;-3;sum;;ko_ika18y
Aged 18 or over, total HR;hr_tuy;-3;sum;;
Average income of inhabitants HR;hr_ktu;-3;mean;hr_tuy;
Median income of inhabitants HR;hr_mtu;-3;mean;hr_tuy;
Lowest income category HR;hr_pi_tul;-3;sum;;hr_tuy
Middle income category HR;hr_ke_tul;-3;sum;;hr_tuy
Highest income category HR;hr_hy_tul;-3;sum;;hr_tuy
Accumulated purchasing power of inhabitants HR;hr_ovy;-3;sum;;
Households, total TE;te_taly;-2;sum;;
Average size of households TE;te_takk;-2;mean;te_taly;
Occupancy rate TE;te_as_valj;-2;mean;te_taly;
Young single persons’ households TE;te_nuor;-2;sum;;te_taly
Young couples without children TE;te_eil_np;-2;sum;;te_taly
Households with children TE;te_laps;-2;sum;;te_taly
Households with small children TE;te_plap;-2;sum;;te_taly
Households with children under school age TE;te_aklap;-2;sum;;te_taly
Households with school-aged children TE;te_klap;-2;sum;;te_taly
Households with teenagers TE;te_teini;-2;sum;;te_taly
Adult households TE;te_aik;-2;sum;;te_taly
Pensioner households TE;te_elak;-2;sum;;te_taly
Households living in owner-occupied dwellings TE;te_omis_as;-2;sum;;te_taly
Households living in rental dwellings TE;te_vuok_as;-2;sum;;te_taly
Households living in other dwellings TE;te_muu_as;-2;sum;;te_taly
Income recipient households, total TR;tr_kuty;-3;sum;;
Average income of households TR;tr_ktu;-3;mean;tr_kuty;
Median income of households TR;tr_mtu;-3;mean;tr_kuty;
Lowest income category TR;tr_pi_tul;-3;sum;;tr_kuty
Middle income category TR;tr_ke_tul;-3;sum;;tr_kuty
Highest income category TR;tr_hy_tul;-3;sum;;tr_kuty
Accumulated purchasing power of households TR;tr_ovy;-3;sum;;
Free-time residences, total RA;ra_ke;-2;sum;;ra_raky+ra_ke
Buildings, total RA;ra_raky;-2;sum;;
Other buildings RA;ra_muut;-2;sum;;ra_raky
